UnitID,Institution Name,Applicants total (ADM2021),Applicants men (ADM2021),Applicants women (ADM2021),Admissions total (ADM2021),Admissions men (ADM2021),Admissions women (ADM2021),Enrolled total (ADM2021),Enrolled  men (ADM2021),Enrolled  women (ADM2021),Applicants total (ADM2020_RV),Applicants men (ADM2020_RV),Applicants women (ADM2020_RV),Admissions total (ADM2020_RV),Admissions men (ADM2020_RV),Admissions women (ADM2020_RV),Enrolled total (ADM2020_RV),Enrolled  men (ADM2020_RV),Enrolled  women (ADM2020_RV),Applicants total (ADM2019_RV),Applicants men (ADM2019_RV),Applicants women (ADM2019_RV),Admissions total (ADM2019_RV),Admissions men (ADM2019_RV),Admissions women (ADM2019_RV),Enrolled total (ADM2019_RV),Enrolled  men (ADM2019_RV),Enrolled  women (ADM2019_RV),Applicants total (ADM2018_RV),Applicants men (ADM2018_RV),Applicants women (ADM2018_RV),Admissions total (ADM2018_RV),Admissions men (ADM2018_RV),Admissions women (ADM2018_RV),Enrolled total (ADM2018_RV),Enrolled  men (ADM2018_RV),Enrolled  women (ADM2018_RV),Applicants total (ADM2017_RV),Applicants men (ADM2017_RV),Applicants women (ADM2017_RV),Admissions total (ADM2017_RV),Admissions men (ADM2017_RV),Admissions women (ADM2017_RV),Enrolled total (ADM2017_RV),Enrolled  men (ADM2017_RV),Enrolled  women (ADM2017_RV),Applicants total (ADM2016_RV),Applicants men (ADM2016_RV),Applicants women (ADM2016_RV),Admissions total (ADM2016_RV),Admissions men (ADM2016_RV),Admissions women (ADM2016_RV),Enrolled total (ADM2016_RV),Enrolled  men (ADM2016_RV),Enrolled  women (ADM2016_RV),Applicants total (ADM2015_RV),Applicants men (ADM2015_RV),Applicants women (ADM2015_RV),Admissions total (ADM2015_RV),Admissions men (ADM2015_RV),Admissions women (ADM2015_RV),Enrolled total (ADM2015_RV),Enrolled  men (ADM2015_RV),Enrolled  women (ADM2015_RV),Applicants total (ADM2014_RV),Applicants men (ADM2014_RV),Applicants women (ADM2014_RV),Admissions total (ADM2014_RV),Admissions men (ADM2014_RV),Admissions women (ADM2014_RV),Enrolled total (ADM2014_RV),Enrolled  men (ADM2014_RV),Enrolled  women (ADM2014_RV),Applicants total (IC2013_RV),Applicants men (IC2013_RV),Applicants women (IC2013_RV),Admissions total (IC2013_RV),Admissions men (IC2013_RV),Admissions women (IC2013_RV),Enrolled total (IC2013_RV),Enrolled  men (IC2013_RV),Enrolled  women (IC2013_RV),Applicants total (IC2012_RV),Applicants men (IC2012_RV),Applicants women (IC2012_RV),Admissions total (IC2012_RV),Admissions men (IC2012_RV),Admissions women (IC2012_RV),Enrolled total (IC2012_RV),Enrolled  men (IC2012_RV),Enrolled  women (IC2012_RV),Applicants total (IC2011_RV),Applicants men (IC2011_RV),Applicants women (IC2011_RV),Admissions total (IC2011_RV),Admissions men (IC2011_RV),Admissions women (IC2011_RV),Enrolled total (IC2011_RV),Enrolled  men (IC2011_RV),Enrolled  women (IC2011_RV),Applicants total (IC2010_RV),Applicants men (IC2010_RV),Applicants women (IC2010_RV),Admissions total (IC2010_RV),Admissions men (IC2010_RV),Admissions women (IC2010_RV),Enrolled total (IC2010_RV),Enrolled  men (IC2010_RV),Enrolled  women (IC2010_RV),Applicants total (IC2009_RV),Applicants men (IC2009_RV),Applicants women (IC2009_RV),Admissions total (IC2009_RV),Admissions men (IC2009_RV),Admissions women (IC2009_RV),Enrolled total (IC2009_RV),Enrolled  men (IC2009_RV),Enrolled  women (IC2009_RV),Applicants total (IC2008_RV),Applicants men (IC2008_RV),Applicants women (IC2008_RV),Admissions total (IC2008_RV),Admissions men (IC2008_RV),Admissions women (IC2008_RV),Enrolled total (IC2008_RV),Enrolled  men (IC2008_RV),Enrolled  women (IC2008_RV),Applicants total (IC2007),Applicants men (IC2007),Applicants women (IC2007),Admissions total (IC2007),Admissions men (IC2007),Admissions women (IC2007),Enrolled total (IC2007),Enrolled  men (IC2007),Enrolled  women (IC2007),Applicants total (IC2006),Applicants men (IC2006),Applicants women (IC2006),Admissions total (IC2006),Admissions men (IC2006),Admissions women (IC2006),Enrolled total (IC2006),Enrolled  men (IC2006),Enrolled  women (IC2006),Applicants total (IC2005),Applicants men (IC2005),Applicants women (IC2005),Admissions total (IC2005),Admissions men (IC2005),Admissions women (IC2005),Enrolled total (IC2005),Enrolled  men (IC2005),Enrolled  women (IC2005),Applicants total (IC2004),Applicants men (IC2004),Applicants women (IC2004),Admissions total (IC2004),Admissions men (IC2004),Admissions women (IC2004),Enrolled total (IC2004),Enrolled  men (IC2004),Enrolled  women (IC2004),Applicants total (IC2003),Applicants men (IC2003),Applicants women (IC2003),Admissions total (IC2003),Admissions men (IC2003),Admissions women (IC2003),Enrolled total (IC2003),Enrolled  men (IC2003),Enrolled  women (IC2003),Applicants total (IC2002),Applicants men (IC2002),Applicants women (IC2002),Admissions total (IC2002),Admissions men (IC2002),Admissions women (IC2002),Enrolled total (IC2002),Enrolled  men (IC2002),Enrolled  women (IC2002),Applicants total (IC2001),Applicants men (IC2001),Applicants women (IC2001),Admissions total (IC2001),Admissions men (IC2001),Admissions women (IC2001),Enrolled total (IC2001),Enrolled  men (IC2001),Enrolled  women (IC2001),
217156,Brown University,46568,18032,28536,2568,1276,1292,1705,859,846,36793,15050,21743,2822,1394,1428,1756,838,918,38674,15792,22882,2733,1375,1358,1662,821,841,35437,14130,21307,2718,1330,1388,1656,785,867,32723,13038,19685,2779,1266,1513,1637,745,892,32390,12872,19518,3014,1417,1597,1681,778,903,30396,12292,18104,2885,1350,1535,1615,739,876,30431,12467,17964,2661,1319,1342,1561,764,797,28919,11664,17255,2654,1328,1326,1543,754,789,28742,11383,17359,2759,1288,1471,1539,699,840,30944,12504,18440,2757,1352,1405,1507,735,772,30135,12117,18018,2815,1312,1503,1501,714,787,24988,10160,14828,2790,1342,1448,1494,723,771,20633,8115,12518,2828,1368,1460,1550,735,815,19097,7714,11383,2669,1250,1419,1484,666,818,18316,7233,11083,2531,1190,1341,1469,725,744,16911,7062,9849,2556,1214,1342,1439,704,735,15285,6422,8863,2505,1205,1300,1429,685,744,15157,6255,8902,2410,1124,1286,1394,656,738,14612,5941,8671,2464,1083,1381,1458,637,821,16606,6860,9746,2693,1210,1483,1377,616,761,
190150,Columbia University in the City of New York,61110,25463,35647,2524,1231,1293,1641,808,833,40462,18488,21974,2695,1276,1419,1521,727,794,42823,19362,23461,2332,1152,1180,1465,716,749,40572,18360,22212,2399,1130,1269,1488,713,775,37673,17118,20555,2410,1202,1208,1474,740,734,37009,16841,20168,2526,1259,1267,1567,784,783,36911,16988,19923,2438,1262,1176,1527,805,722,32967,15165,17802,2291,1168,1123,1424,718,706,31851,14686,17165,2362,1221,1141,1415,718,697,34810,16039,18771,2418,1257,1161,1391,738,653,26179,11686,14493,2498,1251,1247,1391,715,676,25427,11346,14081,2501,1247,1254,1419,722,697,22844,10255,12589,2514,1290,1224,1417,739,678,21343,9376,11967,2255,1154,1101,1338,681,657,19851,8829,11022,2297,1172,1125,1337,699,638,19851,8829,11021,2296,1172,1124,1338,700,638,18125,8306,9819,2318,1222,1096,1339,707,632,17258,7944,9314,2275,1223,1052,1331,730,601,16884,7818,9066,2293,1252,1041,1325,720,605,16162,7485,8677,2268,1261,1007,1376,753,623,0,,,0,,,0,0,0,
190415,Cornell University,67380,33488,33892,5852,2613,3239,3718,1670,2048,51500,26848,24652,5514,2457,3057,3249,1481,1768,49114,25582,23532,5330,2402,2928,3189,1437,1752,51324,26342,24982,5448,2432,3016,3295,1516,1779,47039,24867,22172,5962,2734,3228,3349,1577,1772,44965,23578,21387,6337,2865,3472,3316,1542,1773,41900,22594,19306,6315,2962,3353,3180,1518,1662,43037,23094,19943,6105,2885,3220,3225,1577,1648,39999,21577,18422,6222,3024,3198,3223,1581,1642,37808,20064,17744,6259,2996,3263,3217,1525,1692,36387,19552,16835,6538,3278,3260,3307,1659,1648,36338,19274,17064,6673,3342,3331,3179,1598,1581,34371,17985,16386,6564,3239,3325,3182,1583,1599,33073,17159,15914,6834,3405,3429,3139,1565,1574,30383,15823,14560,6503,3375,3128,3010,1556,1454,28098,14773,13325,6935,3586,3349,3188,1648,1540,24452,12821,11631,6621,3404,3217,3076,1534,1542,20822,10977,9845,6130,3174,2956,3054,1559,1495,20441,10775,9666,6334,3309,3025,3135,1602,1533,16288,9136,7152,4563,2487,2076,1985,1071,914,16538,9244,7294,4288,2393,1895,1950,1085,865,
182670,Dartmouth College,28356,13256,15100,1750,871,879,1221,598,623,21392,10366,11026,1972,984,988,1057,537,520,23650,11384,12266,1875,959,916,1190,607,583,22033,10540,11493,1925,968,957,1167,590,577,20035,9487,10548,2093,1045,1048,1215,633,582,20675,10042,10633,2190,1080,1110,1121,543,578,20507,10423,10084,2250,1110,1140,1116,561,555,19297,9725,9572,2220,1108,1112,1152,575,577,23110,11229,11881,2260,1153,1107,1098,552,546,22385,10983,11402,2270,1152,1118,1113,560,553,18778,8990,9788,2193,1096,1097,1139,578,561,18132,8465,9667,2279,1139,1140,1094,535,559,16538,8149,8389,2228,1110,1118,1094,552,542,14176,7036,7140,2166,1063,1103,1116,558,558,13938,7048,6890,2186,1067,1119,1081,523,558,13938,7048,6890,2186,1067,1119,1081,523,558,12747,6756,5991,2144,1093,1051,1075,540,535,11734,6272,5462,2173,1059,1114,1077,533,544,11855,6370,5485,2155,1083,1072,1077,534,543,10193,5431,4762,2090,1030,1060,1069,535,534,10188,5579,4609,2181,1122,1059,1084,569,515,
166027,Harvard University,57786,26981,30805,2318,1100,1218,1951,925,1026,40248,20036,20212,2015,974,1041,1407,674,733,43330,21730,21600,2009,1009,1000,1649,833,816,42749,21261,21488,2024,1012,1012,1653,835,818,39506,19782,19724,2037,1033,1004,1687,850,837,39041,19809,19232,2110,1088,1022,1663,868,795,37307,19506,17801,2080,1081,999,1660,852,808,34295,18012,16283,2045,1124,921,1654,910,744,35023,18327,16696,2047,1092,955,1659,869,790,34216,17677,16539,1989,1049,940,1664,871,793,34950,18062,16888,2188,1126,1062,1661,841,820,30489,15506,14983,2205,1143,1062,1665,836,829,29025,14693,14332,2088,1045,1043,1663,826,837,27380,13616,13764,2095,1031,1064,1658,820,838,22868,11349,11519,2022,1003,1019,1659,819,840,22645,10968,11677,2019,964,1055,1684,803,881,22715,11349,11366,2023,1017,1006,1640,819,821,19690,10049,9641,2054,1023,1031,1638,815,823,20987,10486,10501,2095,1091,1004,1635,852,783,19527,9861,9666,1985,1028,957,1549,803,746,18932,9549,9383,2028,1040,988,1563,810,753,
166683,Massachusetts Institute of Technology,33240,21672,11568,1365,665,700,1177,604,573,20075,13528,6547,1457,702,755,1070,542,528,21312,14522,6790,1427,703,724,1102,580,522,21706,14689,7017,1464,721,743,1114,567,547,20247,13993,6254,1452,734,718,1097,592,505,19020,13131,5889,1511,757,754,1110,599,511,18306,12750,5556,1519,780,739,1106,589,517,18356,12765,5591,1447,740,707,1043,545,498,18989,13380,5609,1548,808,740,1115,609,506,18109,12718,5391,1620,834,786,1135,609,526,17909,12443,5466,1742,891,851,1125,620,505,16632,11615,5017,1676,878,798,1067,587,480,15663,10970,4693,1676,864,812,1072,593,479,13396,9464,3932,1589,828,761,1048,561,487,12445,8919,3526,1553,813,740,1069,577,492,11374,8157,3217,1514,795,719,1002,554,448,10440,7608,2832,1494,758,736,996,531,465,10466,7669,2797,1665,898,767,1077,620,457,10549,7651,2898,1735,885,850,1019,560,459,10664,7699,2965,1724,898,826,980,559,421,10490,7560,2930,1787,968,819,1030,604,426,
186131,Princeton University,37601,18737,18864,1647,781,866,1290,619,671,32835,16782,16053,1848,907,941,1154,584,570,32804,16720,16084,1895,907,988,1335,656,679,35370,18201,17169,1940,960,980,1339,681,658,31056,16098,14958,1990,994,996,1306,648,658,29303,15157,14146,1911,965,946,1306,670,636,27290,14614,12676,1948,1003,945,1319,695,624,26641,14167,12474,1983,1013,970,1312,678,634,26499,13982,12517,1963,987,976,1285,655,630,26664,13853,12811,2094,1060,1034,1357,690,667,27189,14027,13162,2300,1168,1132,1300,665,635,26247,13430,12817,2311,1172,1139,1312,662,650,21963,11117,10846,2209,1108,1101,1320,662,658,21370,10806,10564,2122,1064,1058,1243,623,620,18942,9971,8971,1838,971,867,1244,651,593,17564,9160,8404,1790,937,853,1240,657,583,16510,8744,7766,1807,980,827,1226,668,558,13695,7274,6421,1733,911,822,1175,627,548,15726,8401,7325,1601,843,758,1169,626,543,14288,7476,6812,1677,854,823,1185,614,571,13654,7399,6255,1700,851,849,1159,589,570,
243744,Stanford University,55471,28332,27139,2190,1068,1122,1757,861,896,45227,23801,21426,2349,1127,1222,1606,778,828,47498,24902,22596,2062,987,1075,1698,824,874,47452,24692,22760,2071,1048,1023,1697,866,831,44073,23254,20819,2085,1019,1066,1700,826,874,43997,23005,20992,2118,1031,1087,1739,854,885,42497,22831,19666,2140,1073,1067,1720,867,853,42167,22536,19631,2145,1083,1062,1678,857,821,38828,20464,18364,2208,1147,1061,1677,904,773,36632,19192,17440,2423,1306,1117,1765,931,834,34348,17817,16531,2437,1278,1159,1707,896,811,32022,16527,15495,2340,1233,1107,1672,876,796,30429,15413,15016,2426,1260,1166,1694,864,830,25299,12994,12305,2400,1248,1152,1703,872,831,23958,12058,11900,2464,1225,1239,1723,850,873,22333,11107,11226,2444,1211,1233,1648,812,836,20195,10236,9959,2426,1249,1177,1633,845,788,19172,9831,9341,2486,1304,1182,1649,861,788,18628,9549,9079,2343,1198,1145,1640,851,789,18599,9520,9079,2368,1196,1172,1639,850,789,19052,9824,9228,2406,1227,1179,1616,810,806,
144050,University of Chicago,37974,17513,20445,2460,1254,1206,2053,1067,986,34350,15670,18680,2510,1295,1215,1847,975,872,34641,15854,18787,2137,1075,1062,1726,900,826,32283,15113,17170,2345,1199,1146,1805,929,876,27694,13050,14644,2419,1229,1190,1736,898,838,31484,14373,17111,2499,1215,1284,1591,791,800,30069,13864,16205,2521,1274,1247,1537,788,749,27500,13101,14399,2409,1199,1210,1445,728,717,30304,14339,15965,2670,1392,1278,1426,781,645,25271,12202,13069,3340,1675,1665,1527,807,720,21762,10720,11042,3539,1826,1713,1411,735,676,19340,9523,9817,3639,1863,1776,1387,732,655,13564,6800,6764,3708,1911,1797,1335,702,633,12376,5883,6493,3454,1692,1762,1307,647,660,9538,4552,4986,3670,1749,1921,1259,622,637,9016,4488,4528,3628,1755,1873,1203,603,600,9011,4488,4523,3628,1755,1873,1207,606,601,8751,4324,4427,3503,1679,1824,1217,594,623,9100,4543,4557,3605,1686,1919,1150,552,598,8140,4110,4030,3379,1626,1753,1113,553,560,7454,3682,3772,3261,1598,1663,1081,536,545,
215062,University of Pennsylvania,56332,26640,29692,3304,1505,1799,2418,1103,1315,42205,21197,21008,3789,1789,2000,2321,1071,1250,44961,22459,22502,3446,1625,1821,2400,1150,1250,44491,22162,22329,3740,1700,2040,2518,1141,1377,40413,20299,20114,3757,1732,2025,2456,1157,1299,38918,19401,19517,3674,1756,1918,2491,1205,1286,37268,19026,18242,3787,1827,1960,2435,1186,1249,35866,18286,17580,3718,1771,1947,2425,1187,1238,31282,16005,15277,3830,1850,1980,2421,1187,1234,31218,15926,15292,3935,1945,1990,2461,1232,1229,31663,16283,15380,3935,1992,1943,2459,1239,1220,26941,13882,13059,3841,1908,1933,2412,1179,1233,22808,11695,11113,4040,1961,2079,2475,1201,1274,22935,11651,11284,3883,1840,2043,2430,1132,1298,22645,11689,10956,3628,1815,1813,2397,1035,1362,20483,10344,10139,3613,1755,1858,2385,1161,1224,18824,9719,9105,3913,1932,1981,2552,1260,1292,18282,9426,8856,3878,1891,1987,2433,1216,1217,18831,9709,9122,3837,1861,1976,2423,1177,1246,18784,9781,9003,3946,1976,1970,2450,1239,1211,19153,10090,9063,4132,2047,2085,2391,1204,1187,
